featuretype,country,region,featurecode,featurename,pressures_info,pressures_source,use_for_statistics
species,ES,MAC,6985,Vandenboschia speciosa,"Otras presiones a tener en cuenta de importancia baja (L) son extracción de agua superficial, subterránea o mixta, especies de fauna y flora autóctonas problemáticas, modificación de los flujos de agua o alteración física de los cuerpos de agua para agricultura y conversión en otros tipos de bosques, incluyendo monocultivos.

Otras amenazas a tener en cuenta son el excursionismo (M), la disminución y pérdida de las características específicas de un hábitat (M) y la erosión (M).",,Yes
species,ES,MATL,2622,Kogia breviceps,,,No
species,ES,MATL,2625,Mesoplodon densirostris,,,No
species,ES,MED,1016,Vertigo moulinsiana,,,Yes
species,ES,MED,1034,Hirudo medicinalis,,,Yes
species,ES,MED,1075,Graellsia isabellae,,,Yes
species,ES,MED,1083,Lucanus cervus,,"Méndez, M. (2012). Lucanus cervus. En: VV.AA., Bases ecológicas preliminares para la conservación de las especies de interés comunitario en España: Invertebrados. Ministerio de Agricultura, Alimentación y Medio Ambiente. Madrid. 198 pp.",Yes
species,ES,MED,1138,Barbus meridionalis,,"García-Berthou, E., Moreno-Amich, R. (2000). Introduction of exotic fish into a Mediterranean lake over a 90-year period. Archiv für Hydrobiologie, 149: 271-284.

García-Berthou, E., Moreno-Amich, R. (2002). Fish ecology and conservation in Lake Banyoles (Spain): the neglected problem of exotic species. Pp. 223-231. En: Cowx, I. G. (Ed.). Management and Ecology of Lake and Reservoir Fisheries. Blackwell Science. Fishing News Books, Oxford.

Merciai, R., Molons-Sierra, C., Sabater, S., García-Berthou, E. (2017). Water abstraction affects abundance, size-structure and growth of two threatened cyprinid fishes. Plos One, 12 (4): e0175932.",Yes
species,ES,MED,1326,Plecotus auritus,,"Las principales amenazas y presiones se relacionan con el manejo intensivo de los bosques. Esta especie está ligada a ecosistemas forestales maduros por lo que la destrucción y pérdida de la biomasa forestal por talas, gestión y sobreexplotación forestal, uso de pesticidas en pinares y otras acciones empeoran en gran medida el hábitat disponible para la especie (Paz, 2007). De igual forma, en edificaciones antiguas como iglesias, conventos, castillos y molinos abandonados donde la especie tiene refugios y colonias, los tratamientos químicos de la madera ocasionan habitualmente la desaparición de la especie (https://bibliotecadigital.jcyl.es/es/catalogo_imagenes/grupo.cmd?path=10128177).",Yes
species,ES,MED,1358,Mustela putorius,,"I02: visón americano (Neovison vison)

Barrientos, R. (2015). Adult sex-ratio distortion in the native European polecat is related to the expansion of the invasive American mink. Biological Conservation, 186: 28-34.

Barrientos, R. (2016). El turón. Pp. 131-137. En: Lozano, J., Lacasa, M. (Eds.). El libro de los carnívoros. Photodigiscoping, Barcelona. 323 pp.

Barrientos, R., Bolonio, L. (2009). The presence of rabbits adjacent to roads increases polecat road mortality. Biodiversity and Conservation, 18 (2): 405-418.

Barrientos, R., Miranda, J. D. (2012). Can we explain regional abundance and road-kill patterns with variables derived from local-scale road-kill models? Evaluating transferability with the European polecat. Diversity and Distributions, 18 (7): 635-647",Yes
species,ES,MED,1400,Leucobryum glaucum,,Opinión experta.,Yes
species,ES,MED,1434,Salix salvifolia subsp. australis,,,No
species,ES,MED,1490,Coincya rupestris,,,Yes
species,ES,MED,1690,Teucrium charidemi,,,Yes
species,ES,MED,1716,Linaria coutinhoi,,,Yes
species,ES,MED,1891,Festuca summilusitana,,,Yes
species,ES,MED,5003,Myotis alcathoe,,"La mayor parte de las presiones y amenazas provienen de la gestión y el manejo forestal. La falta de árboles maduros y viejos y de gran porte, de pies muertos y de un sotobosque abundante, limita los refugios y el hábitat necesario para la reproducción de esta especie, estrictamente forestal (Coronado et al., 2017) (https://doi.org/10.4404/HYSTRIX-00004-2017).",Yes
species,ES,MED,5277,Eptesicus isabellinus,"Según Lisón (2017), las principales amenazas para la especie están relacionadas con el cerramiento inadecuado de edificaciones, la destrucción de los refugios en zonas urbanas, así como la fragmentación del hábitat y el uso de plaguicidas, que indicen sobre los insectos, sus presas principales (Ibáñez, 2007).","Lisón, F. (2017). Murciélago hortelano meridional – Eptesicus isabellinus. En: Enciclopedia Virtual de los Vertebrados Españoles. Salvador, A., Barja, I. (Eds). Museo Nacional de Ciencias Naturales, Madrid. (http://www.vertebradosibericos.org/) [Acceso 02/04/19]",Yes
