country,region,habitatcode,habitatname,priority,presence,group
AT,ALP,8120,Calcareous and calcshist screes of the montane to alpine levels (Thlaspietea rotundifolii),N,PRE,Rocky habitats
AT,ALP,8220,Siliceous rocky slopes with chasmophytic vegetation,N,PRE,Rocky habitats
AT,ALP,8310,Caves not open to the public,N,PRE,Rocky habitats
AT,ALP,8240,Limestone pavements,Y,PRE,Rocky habitats
AT,ALP,8160,Medio-European calcareous scree of hill and montane levels,Y,PRE,Rocky habitats
AT,ALP,8210,Calcareous rocky slopes with chasmophytic vegetation,N,PRE,Rocky habitats
AT,ALP,8150,Medio-European upland siliceous screes,N,PRE,Rocky habitats
AT,ALP,8230,Siliceous rock with pioneer vegetation of the Sedo-Scleranthion or of the Sedo albi-Veronicion dillenii,N,PRE,Rocky habitats
BE,CON,6110,Rupicolous calcareous or basophilic grasslands of the Alysso-Sedion albi,Y,PRE,Grasslands
BE,CON,6120,Xeric sand calcareous grasslands,Y,PRE,Grasslands
BE,CON,6130,Calaminarian grasslands of the Violetalia calaminariae,N,PRE,Grasslands
BE,CON,6210,Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites),N,PRE,Grasslands
BE,CON,6430,Hydrophilous tall herb fringe communities of plains and of the montane to alpine levels,N,PRE,Grasslands
BE,CON,6410,"Molinia meadows on calcareous, peaty or clayey-silt-laden soils (Molinion caeruleae)",N,PRE,Grasslands
BE,CON,5130,Juniperus communis formations on heaths or calcareous grasslands,N,PRE,Sclerophyllous scrub
BE,CON,3150,Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation,N,PRE,Freshwater habitats
BE,CON,7110,Active raised bogs,Y,PRE,"Bogs, mires and fens"
BE,CON,6510,"Lowland hay meadows (Alopecurus pratensis, Sanguisorba officinalis)",N,PRE,Grasslands
BE,CON,6520,Mountain hay meadows,N,PRE,Grasslands
BE,CON,6230,"Species-rich Nardus grasslands, on siliceous substrates in mountain areas (and submountain areas, in Continental Europe)",Y,PRE,Grasslands
BE,CON,5110,Stable xerothermophilous formations with Buxus sempervirens on rock slopes (Berberidion p.p.),N,PRE,Sclerophyllous scrub
BE,CON,4030,European dry heaths,N,PRE,Heath and scrub
BE,CON,4010,Northern Atlantic wet heaths with Erica tetralix,N,PRE,Heath and scrub
BE,CON,3270,Rivers with muddy banks with Chenopodion rubri p.p. and Bidention p.p. vegetation,N,PRE,Freshwater habitats
BE,CON,3160,Natural dystrophic lakes and ponds,N,PRE,Freshwater habitats
BE,CON,3140,Hard oligo-mesotrophic waters with benthic vegetation of Chara spp.,N,PRE,Freshwater habitats
BE,CON,3130,Oligotrophic to mesotrophic standing waters with vegetation of the Littorelletea uniflorae and/or of the Isoëto-Nanojuncetea,N,PRE,Freshwater habitats
BE,CON,7120,Degraded raised bogs still capable of natural regeneration,N,PRE,"Bogs, mires and fens"
BE,CON,91D0,Bog woodland,Y,PRE,Forests
BE,CON,2330,Inland dunes with open Corynephorus and Agrostis grasslands,N,PRE,Dune habitats
BE,CON,3260,Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation,N,PRE,Freshwater habitats
BE,CON,9130,Asperulo-Fagetum beech forests,N,PRE,Forests
BE,ATL,7150,Depressions on peat substrates of the Rhynchosporion,N,PRE,"Bogs, mires and fens"
BE,MATL,1170,Reefs,N,PRE,Coastal habitats
BE,MATL,1140,Mudflats and sandflats not covered by seawater at low tide,N,PRE,Coastal habitats
BE,MATL,1130,Estuaries,N,PRE,Coastal habitats
BE,MATL,1110,Sandbanks which are slightly covered by sea water all the time,N,PRE,Coastal habitats
BE,CON,91F0,"Riparian mixed forests of Quercus robur, Ulmus laevis and Ulmus minor, Fraxinus excelsior or Fraxinus angustifolia, along the great rivers (Ulmenion minoris)",N,PRE,Forests
BE,CON,91E0,"Alluvial forests with Alnus glutinosa and Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)",Y,PRE,Forests
BE,CON,9190,Old acidophilous oak woods with Quercus robur on sandy plains,N,PRE,Forests
BE,CON,9180,"Tilio-Acerion forests of slopes, screes and ravines",Y,PRE,Forests
BE,CON,9150,Medio-European limestone beech forests of the Cephalanthero-Fagion,N,PRE,Forests
BE,CON,7140,Transition mires and quaking bogs,N,PRE,"Bogs, mires and fens"
BE,CON,9120,Atlantic acidophilous beech forests with Ilex and sometimes also Taxus in the shrublayer (Quercion robori-petraeae or Ilici-Fagenion),N,PRE,Forests
BE,CON,9110,Luzulo-Fagetum beech forests,N,PRE,Forests
BE,CON,8310,Caves not open to the public,N,PRE,Rocky habitats
BE,CON,8220,Siliceous rocky slopes with chasmophytic vegetation,N,PRE,Rocky habitats
BE,CON,8210,Calcareous rocky slopes with chasmophytic vegetation,N,PRE,Rocky habitats
BE,CON,8160,Medio-European calcareous scree of hill and montane levels,Y,PRE,Rocky habitats
BE,CON,8150,Medio-European upland siliceous screes,N,PRE,Rocky habitats
BE,CON,7230,Alkaline fens,N,PRE,"Bogs, mires and fens"
BE,CON,7220,Petrifying springs with tufa formation (Cratoneurion),Y,PRE,"Bogs, mires and fens"
BE,CON,7150,Depressions on peat substrates of the Rhynchosporion,N,PRE,"Bogs, mires and fens"
BE,CON,9160,Sub-Atlantic and medio-European oak or oak-hornbeam forests of the Carpinion betuli,N,PRE,Forests
BE,ATL,2180,"Wooded dunes of the Atlantic, Continental and Boreal region",N,PRE,Dune habitats
BE,ATL,4030,European dry heaths,N,PRE,Heath and scrub
BE,ATL,4010,Northern Atlantic wet heaths with Erica tetralix,N,PRE,Heath and scrub
BE,ATL,3270,Rivers with muddy banks with Chenopodion rubri p.p. and Bidention p.p. vegetation,N,PRE,Freshwater habitats
BE,ATL,3260,Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation,N,PRE,Freshwater habitats
BE,ATL,3160,Natural dystrophic lakes and ponds,N,PRE,Freshwater habitats
BE,ATL,3150,Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation,N,PRE,Freshwater habitats
BE,ATL,3140,Hard oligo-mesotrophic waters with benthic vegetation of Chara spp.,N,PRE,Freshwater habitats
BE,ATL,3130,Oligotrophic to mesotrophic standing waters with vegetation of the Littorelletea uniflorae and/or of the Isoëto-Nanojuncetea,N,PRE,Freshwater habitats
BE,ATL,3110,Oligotrophic waters containing very few minerals of sandy plains (Littorelletalia uniflorae),N,PRE,Freshwater habitats
BE,ATL,2330,Inland dunes with open Corynephorus and Agrostis grasslands,N,PRE,Dune habitats
BE,ATL,5130,Juniperus communis formations on heaths or calcareous grasslands,N,PRE,Sclerophyllous scrub
BE,ATL,2190,Humid dune slacks,N,PRE,Dune habitats
BE,ATL,1320,Spartina swards (Spartinion maritimae),N,PRE,Coastal habitats
BE,ATL,2170,Dunes with Salix repens ssp. argentea (Salicion arenariae),N,PRE,Dune habitats
BE,ATL,2160,Dunes with Hippophae rhamnoides,N,PRE,Dune habitats
BE,ATL,2150,Atlantic decalcified fixed dunes (Calluno-Ulicetea),Y,PRE,Dune habitats
BE,ATL,2130,Fixed coastal dunes with herbaceous vegetation ("grey dunes"),Y,PRE,Dune habitats
BE,ATL,2120,Shifting dunes along the shoreline with Ammophila arenaria ("white dunes"),N,PRE,Dune habitats
BE,ATL,2110,Embryonic shifting dunes,N,PRE,Dune habitats
BE,ATL,1330,Atlantic salt meadows (Glauco-Puccinellietalia maritimae),N,PRE,Coastal habitats
BE,ATL,1310,Salicornia and other annuals colonizing mud and sand,N,PRE,Coastal habitats
BE,ATL,91F0,"Riparian mixed forests of Quercus robur, Ulmus laevis and Ulmus minor, Fraxinus excelsior or Fraxinus angustifolia, along the great rivers (Ulmenion minoris)",N,PRE,Forests
BE,ATL,7220,Petrifying springs with tufa formation (Cratoneurion),Y,PRE,"Bogs, mires and fens"
BE,ATL,2310,Dry sand heaths with Calluna and Genista,N,PRE,Dune habitats
BE,ATL,8310,Caves not open to the public,N,PRE,Rocky habitats
BE,ATL,6110,Rupicolous calcareous or basophilic grasslands of the Alysso-Sedion albi,Y,PRE,Grasslands
BE,ATL,91D0,Bog woodland,Y,PRE,Forests
BE,ATL,9180,"Tilio-Acerion forests of slopes, screes and ravines",Y,PRE,Forests
BE,ATL,9160,Sub-Atlantic and medio-European oak or oak-hornbeam forests of the Carpinion betuli,N,PRE,Forests
BE,ATL,9150,Medio-European limestone beech forests of the Cephalanthero-Fagion,N,PRE,Forests
BE,ATL,9130,Asperulo-Fagetum beech forests,N,PRE,Forests
BE,ATL,9190,Old acidophilous oak woods with Quercus robur on sandy plains,N,PRE,Forests
BE,ATL,8220,Siliceous rocky slopes with chasmophytic vegetation,N,PRE,Rocky habitats
BE,ATL,8210,Calcareous rocky slopes with chasmophytic vegetation,N,PRE,Rocky habitats
BE,ATL,7230,Alkaline fens,N,PRE,"Bogs, mires and fens"
BE,ATL,6230,"Species-rich Nardus grasslands, on siliceous substrates in mountain areas (and submountain areas, in Continental Europe)",Y,PRE,Grasslands
BE,ATL,7210,Calcareous fens with Cladium mariscus and species of the Caricion davallianae,Y,PRE,"Bogs, mires and fens"
BE,ATL,6120,Xeric sand calcareous grasslands,Y,PRE,Grasslands
BE,ATL,7140,Transition mires and quaking bogs,N,PRE,"Bogs, mires and fens"
BE,ATL,7110,Active raised bogs,Y,PRE,"Bogs, mires and fens"
BE,ATL,6510,"Lowland hay meadows (Alopecurus pratensis, Sanguisorba officinalis)",N,PRE,Grasslands
BE,ATL,6430,Hydrophilous tall herb fringe communities of plains and of the montane to alpine levels,N,PRE,Grasslands
BE,ATL,6410,"Molinia meadows on calcareous, peaty or clayey-silt-laden soils (Molinion caeruleae)",N,PRE,Grasslands
BE,ATL,91E0,"Alluvial forests with Alnus glutinosa and Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)",Y,PRE,Forests
BE,ATL,9120,Atlantic acidophilous beech forests with Ilex and sometimes also Taxus in the shrublayer (Quercion robori-petraeae or Ilici-Fagenion),N,PRE,Forests
BE,ATL,6210,Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites),N,PRE,Grasslands
BG,CON,6150,Siliceous alpine and boreal grasslands,N,PRE,Grasslands
BG,CON,6110,Rupicolous calcareous or basophilic grasslands of the Alysso-Sedion albi,Y,PRE,Grasslands
BG,CON,5210,Arborescent matorral with Juniperus spp.,N,PRE,Sclerophyllous scrub
BG,CON,5130,Juniperus communis formations on heaths or calcareous grasslands,N,PRE,Sclerophyllous scrub
BG,CON,40C0,Ponto-Sarmatic deciduous thickets,Y,PRE,Heath and scrub
BG,CON,40A0,Subcontinental peri-Pannonic scrub,Y,PRE,Heath and scrub
BG,CON,4080,Sub-Arctic Salix spp. scrub,N,PRE,Heath and scrub
BG,CON,6210,Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites),N,PRE,Grasslands
BG,CON,4070,Bushes with Pinus mugo and Rhododendron hirsutum (Mugo-Rhododendretum hirsuti),Y,PRE,Heath and scrub
BG,CON,4090,Endemic oro-Mediterranean heaths with gorse,N,PRE,Heath and scrub
BG,CON,6220,Pseudo-steppe with grasses and annuals of the Thero-Brachypodietea,Y,PRE,Grasslands
BG,CON,6230,"Species-rich Nardus grasslands, on siliceous substrates in mountain areas (and submountain areas, in Continental Europe)",Y,PRE,Grasslands
BG,CON,6240,Sub-Pannonic steppic grasslands,Y,PRE,Grasslands
BG,CON,6250,Pannonic loess steppic grasslands,Y,PRE,Grasslands
BG,CON,6260,Pannonic sand steppes,Y,PRE,Grasslands
BG,CON,62A0,Eastern sub-Mediterranean dry grasslands (Scorzoneratalia villosae),N,PRE,Grasslands
BG,CON,62C0,Ponto-Sarmatic steppes,Y,PRE,Grasslands
BG,CON,62D0,Oro-Moesian acidophilous grasslands,N,PRE,Grasslands
BG,CON,6420,Mediterranean tall humid grasslands of the Molinio-Holoschoenion,N,PRE,Grasslands
BG,CON,1310,Salicornia and other annuals colonizing mud and sand,N,PRE,Coastal habitats
BG,CON,6430,Hydrophilous tall herb fringe communities of plains and of the montane to alpine levels,N,PRE,Grasslands
BG,CON,6440,Alluvial meadows of river valleys of the Cnidion dubii,N,PRE,Grasslands
BG,CON,6410,"Molinia meadows on calcareous, peaty or clayey-silt-laden soils (Molinion caeruleae)",N,PRE,Grasslands
BG,BLS,92D0,Southern riparian galleries and thickets (Nerio-Tamaricetea and Securinegion tinctoriae),N,PRE,Forests
BG,BLS,91AA,Eastern white oak woods,Y,PRE,Forests
BG,BLS,9180,"Tilio-Acerion forests of slopes, screes and ravines",Y,PRE,Forests
BG,CON,91G0,Pannonic woods with Quercus petraea and Carpinus betulus,Y,PRE,Forests
BG,CON,6510,"Lowland hay meadows (Alopecurus pratensis, Sanguisorba officinalis)",N,PRE,Grasslands
BG,BLS,91F0,"Riparian mixed forests of Quercus robur, Ulmus laevis and Ulmus minor, Fraxinus excelsior or Fraxinus angustifolia, along the great rivers (Ulmenion minoris)",N,PRE,Forests
BG,BLS,91G0,Pannonic woods with Quercus petraea and Carpinus betulus,Y,PRE,Forests
BG,BLS,91H0,Pannonian woods with Quercus pubescens,Y,PRE,Forests
BG,BLS,91I0,Euro-Siberian steppic woods with Quercus spp.,Y,PRE,Forests
BG,BLS,91M0,Pannonian-Balkanic turkey oak-sessile oak forests,N,PRE,Forests
BG,BLS,91S0,Western Pontic beech forests,Y,PRE,Forests
BG,CON,1410,Mediterranean salt meadows (Juncetalia maritimi),N,PRE,Coastal habitats
BG,BLS,92A0,Salix alba and Populus alba galleries,N,PRE,Forests
BG,CON,4060,Alpine and Boreal heaths,N,PRE,Heath and scrub
BG,CON,1340,Inland salt meadows,Y,PRE,Coastal habitats
BG,BLS,91E0,"Alluvial forests with Alnus glutinosa and Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)",Y,PRE,Forests
BG,CON,1530,Pannonic salt steppes and salt marshes,Y,PRE,Coastal habitats
BG,CON,2340,Pannonic inland dunes,Y,PRE,Dune habitats
BG,CON,3130,Oligotrophic to mesotrophic standing waters with vegetation of the Littorelletea uniflorae and/or of the Isoëto-Nanojuncetea,N,PRE,Freshwater habitats
BG,CON,3140,Hard oligo-mesotrophic waters with benthic vegetation of Chara spp.,N,PRE,Freshwater habitats
BG,CON,3150,Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation,N,PRE,Freshwater habitats
BG,CON,3160,Natural dystrophic lakes and ponds,N,PRE,Freshwater habitats
BG,CON,3260,Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation,N,PRE,Freshwater habitats
BG,CON,3270,Rivers with muddy banks with Chenopodion rubri p.p. and Bidention p.p. vegetation,N,PRE,Freshwater habitats
BG,BLS,91Z0,Moesian silver lime woods,N,PRE,Forests
BG,CON,9560,Endemic forests with Juniperus spp.,Y,PRE,Forests
BG,CON,91E0,"Alluvial forests with Alnus glutinosa and Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)",Y,PRE,Forests
BG,CON,91S0,Western Pontic beech forests,Y,PRE,Forests
BG,CON,91W0,Moesian beech forests,N,PRE,Forests
BG,CON,91Z0,Moesian silver lime woods,N,PRE,Forests
BG,CON,9260,Castanea sativa woods,N,PRE,Forests
BG,CON,9270,Hellenic beech forests with Abies borisii-regis,N,PRE,Forests
BG,CON,92A0,Salix alba and Populus alba galleries,N,PRE,Forests
BG,CON,92C0,Platanus orientalis and Liquidambar orientalis woods (Platanion orientalis),N,PRE,Forests
BG,CON,92D0,Southern riparian galleries and thickets (Nerio-Tamaricetea and Securinegion tinctoriae),N,PRE,Forests
BG,CON,91I0,Euro-Siberian steppic woods with Quercus spp.,Y,PRE,Forests
BG,CON,9530,(Sub-) Mediterranean pine forests with endemic black pines,Y,PRE,Forests
BG,CON,91H0,Pannonian woods with Quercus pubescens,Y,PRE,Forests
BG,CON,95A0,High oro-Mediterranean pine forests,N,PRE,Forests
BG,MBLS,1130,Estuaries,N,PRE,Coastal habitats
